# niveau=6 ; parties_par_case=500 ; bot=dur ; decks=Personnages (mélange) + Adversaires ; source=brouillon du builder
deck;adversaire;parties;decisives;victoires;taux;intervalle_95;nulles;bloquees;tours_moyens;avantage_premier;lecture
Médor (mélange);Lapin Chapardeur (PNJ);500;500;392;78,4;3,6;0;0;12,0;62,4;ecrasant
Médor (mélange);Roux (mélange);500;500;262;52,4;4,4;0;0;14,1;64,0;équilibré
Médor (mélange);Médor (mélange);500;500;240;48,0;4,4;0;0;14,9;63,6;miroir
Médor (mélange);Bulle (mélange);500;500;212;42,4;4,3;0;0;14,5;58,8;entre deux cibles
Médor (mélange);Chat de Ruelle (PNJ);500;500;374;74,8;3,8;0;0;14,6;60,4;ecrasant
Médor (mélange);Corax (mélange);500;500;140;28,0;3,9;0;0;16,1;66,8;défavorable
Médor (mélange);Corbeau Rieur (PNJ);500;500;194;38,8;4,3;0;0;15,1;63,6;défavorable
Médor (mélange);Athena (mélange);500;500;229;45,8;4,4;0;0;15,5;69,8;équilibré
Médor (mélange);Felix (mélange);500;500;99;19,8;3,5;0;0;14,4;62,2;ecrasant
Médor (mélange);Crapaud Baveux (PNJ);500;500;137;27,4;3,9;0;0;16,2;61,8;ecrasant
Médor (mélange);Grand Mechant Loup (PNJ);500;500;62;12,4;2,9;0;0;20,3;56,4;ecrasant
Médor (mélange);Renard des Neiges (PNJ);500;500;54;10,8;2,7;0;0;22,4;54,0;ecrasant
Felix (mélange);Médor (mélange);500;500;408;81,6;3,4;0;0;14,4;61,2;ecrasant
Médor (mélange);Grand-Duc (PNJ);500;500;0;0,0;0,4;0;0;23,9;50,0;ecrasant
Médor (mélange);Capitaine Grenouille (PNJ);500;500;0;0,0;0,4;0;0;20,8;50,0;ecrasant
Felix (mélange);Lapin Chapardeur (PNJ);500;500;475;95,0;1,9;0;0;11,0;55,0;ecrasant
Felix (mélange);Roux (mélange);500;500;386;77,2;3,7;0;0;13,3;65,2;ecrasant
Médor (mélange);Pieuvre Pirate (PNJ);500;500;128;25,6;3,8;0;0;21,3;58,0;ecrasant
