# niveau=6 ; parties_par_case=10 ; bot=montecarlo ; decks=Personnages (mélange) + Adversaires ; source=brouillon du builder
deck;adversaire;parties;decisives;victoires;taux;intervalle_95;nulles;bloquees;tours_moyens;avantage_premier;lecture
Médor (mélange);Lapin Chapardeur (PNJ);10;10;8;80,0;22,7;0;0;12,7;70,0;ecrasant
Médor (mélange);Roux (mélange);10;10;2;20,0;22,7;0;0;18,3;50,0;ecrasant
Médor (mélange);Renard des Neiges (PNJ);10;10;2;20,0;22,7;0;0;21,7;50,0;ecrasant
Felix (mélange);Chat de Ruelle (PNJ);10;10;10;100,0;13,9;0;0;17,9;50,0;ecrasant
Felix (mélange);Lapin Chapardeur (PNJ);10;10;10;100,0;13,9;0;0;12,7;50,0;ecrasant
Médor (mélange);Bulle (mélange);10;10;2;20,0;22,7;0;0;21,3;50,0;ecrasant
Médor (mélange);Médor (mélange);10;10;5;50,0;26,3;0;0;22,6;40,0;miroir
Médor (mélange);Chat de Ruelle (PNJ);10;10;6;60,0;26,0;0;0;32,5;50,0;entre deux cibles
Felix (mélange);Médor (mélange);10;10;9;90,0;19,3;0;0;18,6;60,0;ecrasant
Médor (mélange);Corbeau Rieur (PNJ);10;10;2;20,0;22,7;0;0;22,9;30,0;ecrasant
Médor (mélange);Athena (mélange);10;10;2;20,0;22,7;0;0;22,7;70,0;ecrasant
Médor (mélange);Pieuvre Pirate (PNJ);10;10;1;10,0;19,3;0;0;21,2;60,0;ecrasant
Médor (mélange);Capitaine Grenouille (PNJ);10;10;0;0,0;13,9;0;0;27,7;50,0;ecrasant
Médor (mélange);Crapaud Baveux (PNJ);10;10;4;40,0;26,0;0;0;17,7;90,0;entre deux cibles
Corax (mélange);Chat de Ruelle (PNJ);10;10;9;90,0;19,3;0;0;18,8;60,0;ecrasant
Médor (mélange);Grand-Duc (PNJ);10;10;0;0,0;13,9;0;0;31,3;50,0;ecrasant
Médor (mélange);Felix (mélange);10;10;5;50,0;26,3;0;0;26,5;60,0;équilibré
Médor (mélange);Corax (mélange);10;10;4;40,0;26,0;0;0;22,7;90,0;entre deux cibles
Médor (mélange);Grand Mechant Loup (PNJ);10;9;0;0,0;15,0;1;0;29,2;55,6;ecrasant
Felix (mélange);Athena (mélange);10;10;6;60,0;26,0;0;0;18,1;90,0;entre deux cibles
Felix (mélange);Corbeau Rieur (PNJ);10;10;7;70,0;24,8;0;0;19,4;80,0;favorable
Felix (mélange);Roux (mélange);10;10;6;60,0;26,0;0;0;19,3;50,0;entre deux cibles
Corax (mélange);Corbeau Rieur (PNJ);10;10;8;80,0;22,7;0;0;23,3;50,0;ecrasant
Bulle (mélange);Corbeau Rieur (PNJ);10;10;6;60,0;26,0;0;0;19,3;90,0;entre deux cibles
Corax (mélange);Roux (mélange);10;10;6;60,0;26,0;0;0;19,1;70,0;entre deux cibles
Felix (mélange);Bulle (mélange);10;10;7;70,0;24,8;0;0;19,0;80,0;favorable
Corax (mélange);Lapin Chapardeur (PNJ);10;10;10;100,0;13,9;0;0;16,7;50,0;ecrasant
Felix (mélange);Felix (mélange);10;10;7;70,0;24,8;0;0;20,8;60,0;miroir
Felix (mélange);Renard des Neiges (PNJ);10;10;7;70,0;24,8;0;0;22,8;60,0;favorable
Bulle (mélange);Lapin Chapardeur (PNJ);10;10;10;100,0;13,9;0;0;14,3;50,0;ecrasant
Corax (mélange);Felix (mélange);10;10;4;40,0;26,0;0;0;25,1;70,0;entre deux cibles
Corax (mélange);Médor (mélange);10;10;7;70,0;24,8;0;0;24,2;80,0;favorable
Bulle (mélange);Grand Mechant Loup (PNJ);10;10;5;50,0;26,3;0;0;21,4;80,0;équilibré
Felix (mélange);Corax (mélange);10;10;4;40,0;26,0;0;0;22,3;70,0;entre deux cibles
Felix (mélange);Crapaud Baveux (PNJ);10;10;5;50,0;26,3;0;0;21,2;80,0;équilibré
Bulle (mélange);Chat de Ruelle (PNJ);10;10;9;90,0;19,3;0;0;21,4;60,0;ecrasant
Felix (mélange);Pieuvre Pirate (PNJ);10;10;6;60,0;26,0;0;0;23,9;70,0;entre deux cibles
